"CustomerID","Recency","Frequency","Monetary","R_score","F_score","M_score","RFM_Score","Segment"
12346,330,2,0,1,2,1,"121","Lost"
12347,7,7,4310,5,4,5,"545","Champions"
12348,80,4,1797.24,2,3,4,"234","Others"
12349,23,1,1757.55,4,1,4,"414","New Customers"
12350,315,1,334.4,1,1,2,"112","Lost"
12352,41,11,1545.41,3,5,4,"354","Loyal Customers"
12353,209,1,89,1,1,1,"111","Lost"
12354,237,1,1079.4,1,1,4,"114","Lost"
12355,219,1,459.4,1,1,2,"112","Lost"
12356,27,3,2811.43,4,3,5,"435","Loyal Customers"
12357,38,1,6207.67,3,1,5,"315","Others"
12358,6,2,1168.06,5,2,4,"524","New Customers"
12359,12,6,6245.53,5,4,5,"545","Champions"
12360,57,3,2662.06,3,3,5,"335","Loyal Customers"
12361,292,1,189.9,1,1,1,"111","Lost"
12362,8,13,5154.58,5,5,5,"555","Champions"
12363,114,2,552,2,2,3,"223","Lost"
12364,12,4,1313.1,5,3,4,"534","Loyal Customers"
12365,296,3,320.69,1,3,2,"132","Others"
12367,9,1,168.9,5,1,1,"511","New Customers"
12370,56,4,3545.69,3,3,5,"335","Loyal Customers"
12371,49,2,1887.96,3,2,4,"324","Others"
12372,76,3,1298.04,2,3,4,"234","Others"
12373,316,1,364.6,1,1,2,"112","Lost"
12374,30,1,742.93,4,1,3,"413","New Customers"
12375,7,3,455.42,5,3,2,"532","Loyal Customers"
12377,320,2,1628.12,1,2,4,"124","Lost"
12378,134,1,4008.62,2,1,5,"215","Lost"
12379,86,3,850.29,2,3,3,"233","Others"
12380,26,5,2720.56,4,4,5,"445","Champions"
12381,9,6,1803.96,5,4,4,"544","Champions"
12383,189,6,1839.31,1,4,4,"144","At Risk"
12384,33,3,566.16,4,3,3,"433","Loyal Customers"
12386,342,2,401.9,1,2,2,"122","Lost"
12388,20,6,2780.66,4,4,5,"445","Champions"
12390,84,1,549.84,2,1,3,"213","Lost"
12391,26,1,460.89,4,1,2,"412","New Customers"
12393,77,4,1582.6,2,3,4,"234","Others"
12394,68,2,1272.48,3,2,4,"324","Others"
12395,20,15,2998.28,4,5,5,"455","Champions"
12397,40,2,2409.9,3,2,5,"325","Others"
12398,50,1,1635.66,3,1,4,"314","Others"
12399,124,4,1108.65,2,4,4,"244","At Risk"
12401,308,1,84.3,1,1,1,"111","Lost"
12402,328,1,225.6,1,1,1,"111","Lost"
12403,54,2,409.7,3,2,2,"322","Others"
12405,153,1,1710.39,2,1,4,"214","Lost"
12406,27,3,3280.75,4,3,5,"435","Loyal Customers"
12407,54,5,1708.12,3,4,4,"344","Loyal Customers"
12408,37,9,2842.57,3,5,5,"355","Loyal Customers"
12409,83,7,11056.93,2,4,5,"245","At Risk"
12410,306,3,681.08,1,3,3,"133","Others"
12412,79,3,1226.88,2,3,4,"234","Others"
12413,71,5,694.15,3,4,3,"343","Loyal Customers"
12414,222,3,562.41,1,3,3,"133","Others"
12415,29,26,123725.45,4,5,5,"455","Champions"
12417,8,12,3578.8,5,5,5,"555","Champions"
12418,117,1,668.58,2,1,3,"213","Lost"
12420,68,1,600.39,3,1,3,"313","Others"
12421,20,5,806.27,4,4,3,"443","Loyal Customers"
12422,100,3,803.56,2,3,3,"233","Others"
12423,5,9,1849.11,5,5,4,"554","Champions"
12424,167,2,1760.96,2,2,4,"224","Lost"
12425,83,1,777.2,2,1,3,"213","Lost"
12426,199,1,582.73,1,1,3,"113","Lost"
12427,16,5,708.37,4,4,3,"443","Loyal Customers"
12428,30,12,7877.2,4,5,5,"455","Champions"
12429,14,4,3750.4,5,4,5,"545","Champions"
12430,48,1,256.4,3,1,2,"312","Others"
12431,40,18,6416.39,3,5,5,"355","Loyal Customers"
12432,47,5,5059.32,3,4,5,"345","Loyal Customers"
12433,5,7,13375.87,5,4,5,"545","Champions"
12434,89,4,765.19,2,4,3,"243","At Risk"
12435,84,2,7829.89,2,2,5,"225","Lost"
12436,104,1,509.01,2,1,3,"213","Lost"
12437,6,19,4896.66,5,5,5,"555","Champions"
12438,19,2,2906.85,4,2,5,"425","New Customers"
12441,371,1,173.55,1,1,1,"111","Lost"
12442,8,1,172.06,5,1,1,"511","New Customers"
12444,26,5,5005.46,4,4,5,"445","Champions"
12445,27,1,133.4,4,1,1,"411","New Customers"
12446,62,1,1002.31,3,1,4,"314","Others"
12447,248,1,476.49,1,1,3,"113","Lost"
12448,49,1,449.45,3,1,2,"312","Others"
12449,27,4,4067.29,4,4,5,"445","Champions"
12450,161,2,197.88,2,2,1,"221","Lost"
12451,15,6,8933.52,5,4,5,"545","Champions"
12452,21,3,428.57,4,3,2,"432","Loyal Customers"
12453,139,1,707.09,2,1,3,"213","Lost"
12454,58,2,0,3,2,1,"321","Others"
12455,78,6,2466.86,2,4,5,"245","At Risk"
12456,49,4,3153.89,3,4,5,"345","Loyal Customers"
12457,63,12,1917.78,3,5,4,"354","Loyal Customers"
12458,76,2,947.4,2,2,4,"224","Lost"
12461,99,2,826.88,2,2,3,"223","Lost"
12462,7,4,1124.01,5,4,4,"544","Champions"
12463,51,7,1303.63,3,4,4,"344","Loyal Customers"
12464,15,8,1212.05,5,5,4,"554","Champions"
12465,12,3,733.89,5,3,3,"533","Loyal Customers"
12468,148,3,724.04,2,3,3,"233","Others"
12471,7,49,18740.92,5,5,5,"555","Champions"
12472,35,13,6229.48,4,5,5,"455","Champions"
12473,34,9,2848.23,4,5,5,"455","Champions"
12474,22,30,7116.47,4,5,5,"455","Champions"
12475,58,1,723.38,3,1,3,"313","Others"
12476,6,20,6546.58,5,5,5,"555","Champions"
12477,27,9,13117.01,4,5,5,"455","Champions"
12478,8,1,680.99,5,1,3,"513","New Customers"
12479,8,3,477.3,5,3,3,"533","Loyal Customers"
12480,33,4,3281.63,4,4,5,"445","Champions"
12481,27,11,5590.86,4,5,5,"455","Champions"
12483,22,13,2327.13,4,5,5,"455","Champions"
12484,37,8,4495.27,3,5,5,"355","Loyal Customers"
12488,14,3,1298.66,5,3,4,"534","Loyal Customers"
12489,341,1,334.93,1,1,2,"112","Lost"
12490,10,10,5417.93,5,5,5,"555","Champions"
12491,43,1,460.4,3,1,2,"312","Others"
12492,68,2,263.21,3,2,2,"322","Others"
12493,170,3,416.79,2,3,2,"232","Others"
12494,14,13,1139.35,5,5,4,"554","Champions"
12497,86,1,1043.1,2,1,4,"214","Lost"
12498,26,3,403.7,4,3,2,"432","Loyal Customers"
12500,28,13,4206.27,4,5,5,"455","Champions"
12501,320,2,2089.68,1,2,5,"125","Lost"
